id,year_start,year_end,year_label,era,area_code,region,category,title,importance,summary,wiki,lat,lon
1,-3100,-30,BC3100〜BC30,先史,EGY,エジプト,CIV,古代エジプト,5,ナイル川流域に栄えたファラオの王国,古代エジプト,29.98,31.13
2,-2000,1521,BC2000〜AD1521,先史,AMER_C,中米,CIV,マヤ文明,4,ユカタン半島に栄えた中米の都市文明,マヤ文明,17.22,-89.62
3,-1650,-1190,BC1650〜BC1190,先史,ANAT,アナトリア,CIV,ヒッタイト,4,鉄器を用いた古代アナトリアの王国,ヒッタイト,40.02,34.62
4,-934,-609,BC934〜BC609,古代,MESO,メソポタミア,CIV,アッシリア,4,鉄製武器でオリエントを統一した軍事帝国,アッシリア,36.36,43.15
5,-900,-192,BC900〜BC192,古代,GRC,ギリシア,CIV,スパルタ,4,軍国主義で知られた古代ギリシアのポリス,スパルタ,37.08,22.42
6,-808,-168,BC808〜BC168,古代,GRC,マケドニア,CIV,マケドニア王国,5,アレクサンドロス大王の東方遠征の拠点,マケドニア王国,40.75,22.52
7,-680,-546,BC680〜BC546,古代,ANAT,アナトリア,CIV,リディア,3,世界最古の金属貨幣を発行した王国,リュディア,38.49,28.04
8,-625,-539,BC625〜BC539,古代,MESO,メソポタミア,CIV,新バビロニア,4,バビロン捕囚を行った古代王国,新バビロニア,32.54,44.42
9,-550,-330,BC550〜BC330,古代,PER,イラン,CIV,アケメネス朝,5,初の世界帝国,アケメネス朝,29.94,52.89
10,-509,-27,BC509〜BC27,古代,ITA,イタリア,CIV,共和政ローマ,5,元老院が主導した古代ローマの政体,共和政ローマ,41.89,12.49
11,-508,-322,BC508〜BC322,古代,GRC,ギリシア,CIV,アテネ,5,民主政を発展させた古代ギリシアのポリス,アテナイ,37.98,23.73
12,-322,-185,BC322〜BC185,古代,IND,インド,CIV,マウリヤ朝,4,初のインド統一王朝,マウリヤ朝,25.61,85.14
13,-312,-63,BC312〜BC63,古代,LEV,シリア,CIV,セレウコス朝,4,ヘレニズム最大の西アジアの王国,セレウコス朝,36.21,36.16
