id,year_start,year_end,year_label,era,area_code,region,category,title,importance,summary,wiki,lat,lon
1,-1975,-1975,BC1975,先史,MESO,アッシリア,POL,古アッシリア王国(プズル・アッシュル1世),3,アッシュル中心の交易国家,アッシリア,35.46,43.26
2,-1813,-1813,BC1813,先史,MESO,アッシリア,WAR,シャムシ・アダド1世 アッシリア征服,3,,シャムシ・アダド1世,35.46,43.26
3,-1792,-1750,BC1792〜BC1750,先史,MESO,メソポタミア,POL,ハンムラビ法典,5,バビロニアの成文法典で復讐法が特徴,ハンムラビ法典,32.54,44.42
4,-1430,-1430,BC1430,先史,ANAT,アナトリア,POL,ヒッタイト新王国,4,鉄器を独占的に使用,ヒッタイト,40.02,34.62
5,-1285,-1285,BC1285,先史,LEV,シリア,WAR,カデシュの戦い,3,ヒッタイト対エジプト・史上初の和平条約,カデシュの戦い,34.57,36.51
6,-922,-922,BC922,古代,LEV,パレスチナ,POL,ヘブライ王国分裂,3,統一王国がイスラエルとユダに分裂,イスラエル王国,31.78,35.23
7,-722,-221,BC722〜BC221,古代,CHN,中国,POL,春秋戦国時代,4,鉄製農具・灌漑・諸子百家(法家),春秋戦国時代,35,114
8,-660,-660,BC660,古代,JPN,日本,POL,神武天皇即位(伝承),3,日本建国神話の起点,神武天皇,34.49,135.84
9,-626,-626,BC626,古代,MESO,バビロニア,POL,新バビロニア帝国成立,4,,新バビロニア,32.54,44.42
10,-612,-612,BC612,古代,MESO,アッシリア,POL,アッシリア滅亡 4王国分立,4,メディア・リディア・エジプト・新バビロニア,アッシリア,36.36,43.15
11,-597,-597,BC597,古代,LEV,ユダ王国,WAR,エルサレム陥落 バビロン捕囚,4,ネブカドネザル2世,バビロン捕囚,31.78,35.22
12,-594,-594,BC594,古代,GRC,アテネ,POL,ソロンの改革,4,債務奴隷を禁じ財産政治を導入,ソロン,37.98,23.73
13,-550,-550,BC550,古代,PER,ペルシア,POL,アケメネス朝ペルシア成立,5,キュロス2世・初の世界帝国,アケメネス朝,30.2,53.18
14,-538,-538,BC538,古代,MESO,バビロン,POL,キュロスの勅命 捕囚民解放,3,,キュロス2世,32.54,44.42
15,-509,-509,BC509,古代,ITA,ローマ,POL,ローマ共和政成立,4,,共和政ローマ,41.89,12.49
16,-508,-508,BC508,古代,GRC,アテネ,POL,クレイステネスの改革,4,陶片追放を制度化し民主政の基礎,クレイステネス,37.98,23.73
17,-500,-500,BC500,古代,WORLD,ユーラシア,THT,枢軸時代,5,孔子・釈迦・ゾロアスター 普遍思想の同時多発,枢軸時代,,
18,-492,-449,BC492〜BC449,古代,GRC,ギリシア,WAR,ペルシア戦争,4,サラミスの海戦(BC480),ペルシア戦争,37.96,23.57
19,-490,-490,BC490,古代,GRC,ギリシア,WAR,マラトンの戦い,4,アテネがペルシア軍を撃退,マラトンの戦い,38.15,23.96
20,-480,-480,BC480,古代,GRC,ギリシア,WAR,サラミスの海戦,5,ギリシア連合艦隊がペルシアを破る,サラミスの海戦,37.96,23.57
21,-451,-449,BC451〜BC449,古代,ITA,ローマ,POL,十二表法,4,ローマ最古の成文法,十二表法,41.89,12.49
22,-431,-404,BC431〜BC404,古代,GRC,ギリシア,WAR,ペロポネソス戦争,3,アテネ対スパルタ,ペロポネソス戦争,37.98,23.73
23,-334,-323,BC334〜BC323,古代,GRC,マケドニア,WAR,アレクサンドロス東方遠征,5,ヘレニズム時代の幕開け,アレクサンドロス3世,40.76,22.52
24,-330,-330,BC330,古代,PER,ペルシア,POL,アケメネス朝滅亡,4,,アケメネス朝,29.94,52.89
25,-317,-317,BC317,古代,IND,インド,POL,マウリヤ朝成立,4,チャンドラグプタ・初のインド統一,マウリヤ朝,25.61,85.14
26,-268,-268,BC268,古代,IND,インド,REL,アショーカ王 仏教保護,4,仏教の対外伝播が始まる,アショーカ王,25.61,85.14
27,-264,-146,BC264〜BC146,古代,ITA,ローマ,WAR,ポエニ戦争,4,ローマ対カルタゴ・地中海制覇,ポエニ戦争,36.85,10.32
28,-221,-221,BC221,古代,CHN,中国,POL,秦・始皇帝 中国統一,5,中央集権・度量衡統一,始皇帝,34.33,108.71
29,-213,-212,BC213〜BC212,古代,CHN,中国,THT,焚書坑儒,4,始皇帝が書物を焼き儒者を弾圧,焚書坑儒,34.38,109.00
30,-209,-208,BC209〜BC208,古代,CHN,中国,WAR,陳勝呉広の乱,4,中国史上初の大規模農民反乱,陳勝・呉広の乱,33.63,116.97
31,-206,-206,BC206,古代,CHN,中国,POL,前漢成立(劉邦),4,,前漢,34.27,108.95
32,-139,-139,BC139,古代,CHN,中央アジア,ECO,張騫 西域派遣,4,シルクロード交易の本格化,張騫,40.14,94.66
33,-133,-121,BC133〜BC121,古代,ITA,ローマ,POL,グラックス兄弟の改革,3,農地改革をめぐり内乱の世紀へ,グラックス兄弟,41.89,12.49
