id,year_start,year_end,year_label,era,area_code,region,category,title,importance,summary,wiki,lat,lon
1,1721,1742,1721〜1742,近世,EUR_BR,イギリス,POL,ロバート・ウォルポール,5,初代首相とされる長期安定政権を築いた,ロバート・ウォルポール,51.51,-0.13
2,1742,1743,1742〜1743,近世,EUR_BR,イギリス,POL,スペンサー・コンプトン,3,ウォルポール後を継いだ短命政権,スペンサー・コンプトン (初代ウィルミントン伯爵),51.51,-0.13
3,1743,1754,1743〜1754,近世,EUR_BR,イギリス,POL,ヘンリー・ペラム,3,ホイッグ政権を率いた財政家,ヘンリー・ペラム,51.51,-0.13
4,1754,1756,1754〜1756,近世,EUR_BR,イギリス,POL,ニューカッスル公（1回目）,3,弟ペラムを継ぎ政権を担った,トマス・ペラム＝ホリス (初代ニューカッスル公爵),51.51,-0.13
5,1756,1757,1756〜1757,近世,EUR_BR,イギリス,POL,デヴォンシャー公,3,七年戦争初期の暫定政権を担った,ウィリアム・キャヴェンディッシュ (第4代デヴォンシャー公爵),51.51,-0.13
6,1757,1762,1757〜1762,近世,EUR_BR,イギリス,POL,ニューカッスル公（2回目）,3,大ピットと連立し七年戦争を遂行,トマス・ペラム＝ホリス (初代ニューカッスル公爵),51.51,-0.13
7,1762,1763,1762〜1763,近世,EUR_BR,イギリス,POL,ビュート伯,3,ジョージ3世の側近で短命政権,ジョン・ステュアート (第3代ビュート伯),51.51,-0.13
8,1763,1765,1763〜1765,近世,EUR_BR,イギリス,POL,ジョージ・グレンヴィル,3,印紙法を成立させ植民地と対立,ジョージ・グレンヴィル,51.51,-0.13
9,1765,1766,1765〜1766,近世,EUR_BR,イギリス,POL,ロッキンガム侯（1回目）,3,印紙法を撤廃したホイッグ政権,チャールズ・ワトソン＝ウェントワース (第2代ロッキンガム侯),51.51,-0.13
10,1766,1768,1766〜1768,近世,EUR_BR,イギリス,POL,大ピット（チャタム伯）,4,大ピットと称された大政治家,ウィリアム・ピット (初代チャタム伯爵),51.51,-0.13
11,1768,1770,1768〜1770,近世,EUR_BR,イギリス,POL,グラフトン公,3,大ピット引退後の政権を担った,オーガスタス・フィッツロイ (第3代グラフトン公),51.51,-0.13
12,1770,1782,1770〜1782,近世,EUR_BR,イギリス,POL,ノース卿,4,米独立戦争期の長期政権を率いた,フレデリック・ノース (第2代ギルフォード伯爵),51.51,-0.13
13,1782,1782,1782,近世,EUR_BR,イギリス,POL,ロッキンガム侯（2回目）,3,米独立を承認し在任中に病死,チャールズ・ワトソン＝ウェントワース (第2代ロッキンガム侯),51.51,-0.13
14,1782,1783,1782〜1783,近世,EUR_BR,イギリス,POL,シェルバーン伯,3,米独立戦争の講和を進めた,ウィリアム・ペティ (第2代シェルバーン伯),51.51,-0.13
15,1783,1783,1783,近世,EUR_BR,イギリス,POL,ポートランド公（1回目）,3,フォックス・ノース連立を率いた,ウィリアム・キャヴェンディッシュ＝ベンティンク (第3代ポートランド公爵),51.51,-0.13
16,1783,1801,1783〜1801,近世,EUR_BR,イギリス,POL,小ピット（1回目）,5,最年少で就任し対仏戦争を指導,ウィリアム・ピット (小ピット),51.51,-0.13
17,1789,1797,1789〜1797,近代,AMER_N,アメリカ,POL,ジョージ・ワシントン,5,初代大統領で建国の父,ジョージ・ワシントン,38.90,-77.04
18,1797,1801,1797〜1801,近代,AMER_N,アメリカ,POL,ジョン・アダムズ,3,第2代大統領で連邦派の重鎮,ジョン・アダムズ,38.90,-77.04
19,1801,1809,1801〜1809,近代,AMER_N,アメリカ,POL,トーマス・ジェファーソン,4,独立宣言起草者で第3代大統領,トーマス・ジェファーソン,38.90,-77.04
