id,year_start,year_end,year_label,era,area_code,region,category,title,importance,summary,wiki,lat,lon
1,-4000,-2000,BC4000〜BC2000,先史,MESO,南メソポタミア,CIV,シュメール人,4,都市文明・楔形文字の担い手,シュメール,31.00,46.10
2,-1500,-586,BC1500〜BC586,先史,LEV,レヴァント,REL,ヘブライ人,4,一神教(ユダヤ教)の母体,ヘブライ人,31.78,35.22
3,-1500,-300,BC1500〜BC300,先史,LEV,レヴァント沿岸,ECO,フェニキア人,4,地中海交易とアルファベット,フェニキア,33.27,35.20
4,-1500,-500,BC1500〜BC500,先史,IND,北西インド,REL,アーリア人,4,ヴェーダ文化・インド到来,アーリア人,31.00,72.00
5,-1100,-700,BC1100〜BC700,先史,GRC,ギリシア,POL,ドーリア人,3,ギリシアへの南下・ポリス形成前夜,ドーリア人,37.07,22.43
6,-800,100,BC800〜AD100,古代,EUR_W,ガリア・中欧,CIV,ケルト人,3,鉄器文化・西欧先住,ケルト人,47.00,3.00
7,-700,-300,BC700〜BC300,古代,EUR_E,ポントス草原,WAR,スキタイ人,3,騎馬遊牧民,スキタイ,47.00,35.00
8,-300,100,BC300〜AD100,古代,WORLD,モンゴル高原,WAR,匈奴,4,漢を脅かした遊牧国家,匈奴,45.00,105.00
9,-100,500,BC100〜AD500,古代,EUR_C,中欧,WAR,ゲルマン人,4,大移動でローマを揺るがす,ゲルマン人,52.00,10.00
10,350,469,350〜469,古代,EUR_E,中央アジア〜欧州,WAR,フン人,3,西方移動が民族大移動の引き金,フン族,47.00,40.00
