id,year_start,year_end,year_label,era,area_code,region,category,title,importance,summary,wiki,lat,lon
1,-14000,-300,BC14000〜BC300,先史,JPN,日本,ERA,縄文時代,3,狩猟採集と土器の時代,縄文時代,36.00,138.00
2,-3500,-550,BC3500〜BC550,先史,MESO,西アジア,ERA,古代オリエント,4,メソポタミア文明が興った地域,古代オリエント,32.54,44.42
3,-3100,-2686,BC3100〜BC2686,先史,EGY,エジプト,ERA,エジプト初期王朝時代,3,上下エジプトが統一される,エジプト初期王朝時代,26.17,31.85
4,-2686,-2185,BC2686〜BC2185,先史,EGY,エジプト,ERA,エジプト古王国,4,ピラミッド建設が盛んな時代,エジプト古王国,29.87,31.21
5,-2600,-1900,BC2600〜BC1900,先史,IND,インド,ERA,インダス文明期,4,計画都市が栄えた古代文明,インダス文明,27.33,68.14
6,-2333,-108,BC2333〜BC108,先史,KOR,朝鮮,ERA,古朝鮮,3,朝鮮半島最古の国家,古朝鮮,39.02,125.75
7,-2185,-2040,BC2185〜BC2040,先史,EGY,エジプト,ERA,エジプト第1中間期,3,王権が分裂し混乱した時代,エジプト第1中間期,26.17,31.85
8,-2040,-1782,BC2040〜BC1782,先史,EGY,エジプト,ERA,エジプト中王国,3,王権が再統一され安定,エジプト中王国,25.70,32.65
9,-1782,-1570,BC1782〜BC1570,先史,EGY,エジプト,ERA,エジプト第2中間期,3,ヒクソスが下エジプトを支配,エジプト第2中間期,30.79,31.29
10,-1570,-1070,BC1570〜BC1070,先史,EGY,エジプト,ERA,エジプト新王国,5,帝国として最盛期を迎える,エジプト新王国,25.72,32.61
11,-1500,-322,BC1500〜BC322,先史,IND,インド,ERA,ヴェーダ時代,4,アーリヤ人の聖典文化が成立,ヴェーダ,29.95,77.55
12,-1200,1500,BC1200〜AD1500,先史,AMER_C,アメリカ大陸,ERA,先住民文明期,4,オルメカからアステカ・インカまで,メソアメリカ,19.43,-99.13
13,-1070,-664,BC1070〜BC664,先史,EGY,エジプト,ERA,エジプト第3中間期,3,王権が分裂し外来王朝も興る,エジプト第3中間期,30.80,31.27
14,-1046,-770,BC1046〜BC770,先史,CHN,中国,ERA,周,3,封建制を敷いた古代王朝,周,34.27,108.95
15,-800,-146,BC800〜BC146,古代,EUR_W,西ヨーロッパ,ERA,古代ギリシア,5,ポリスが栄え古典文化が開花,古代ギリシア,37.98,23.73
16,-770,-221,BC770〜BC221,古代,CHN,中国,ERA,春秋戦国時代,4,諸侯が争い諸子百家が活躍,春秋戦国時代,34.65,113.62
17,-664,-332,BC664〜BC332,古代,EGY,エジプト,ERA,エジプト末期王朝,3,ペルシア支配を挟む末期王朝,エジプト末期王朝,31.00,30.47
18,-550,-330,BC550〜BC330,古代,MESO,西アジア,ERA,アケメネス朝期,5,オリエントを統一した大帝国,アケメネス朝,29.94,52.89
19,-332,-30,BC332〜BC30,古代,EGY,エジプト,ERA,プトレマイオス朝期,4,ギリシア系王朝が支配,プトレマイオス朝,31.20,29.92
20,-330,224,BC330〜AD224,古代,MESO,西アジア,ERA,ヘレニズム時代,4,ギリシア文化が東方に広がる,ヘレニズム,33.31,44.36
21,-322,-185,BC322〜BC185,古代,IND,インド,ERA,マウリヤ朝期,4,インド初の統一王朝,マウリヤ朝,25.61,85.14
22,-300,250,BC300〜AD250,古代,JPN,日本,ERA,弥生時代,3,稲作と金属器が広まった時代,弥生時代,34.70,135.50
23,-221,220,BC221〜AD220,古代,CHN,中国,ERA,漢,4,中央集権を確立した大帝国,漢,34.27,108.95
24,-146,476,BC146〜AD476,古代,EUR_W,西ヨーロッパ,ERA,古代ローマ期,5,地中海世界を統一した大帝国,古代ローマ,41.90,12.50
25,-108,668,BC108〜AD668,古代,KOR,朝鮮,ERA,朝鮮三国時代,4,高句麗百済新羅が鼎立,三国時代 (朝鮮半島),37.57,126.98
26,30,320,30〜320,古代,IND,インド,ERA,クシャーナ朝期,3,仏教文化が東西に広がる,クシャーナ朝,33.60,72.86
27,100,550,100〜550,古代,SEA,東南アジア,ERA,扶南・港市国家,3,メコン下流に栄えた港市国家の時代,扶南,10.50,105.00
28,220,589,220〜589,古代,CHN,中国,ERA,魏晋南北朝時代,3,分裂と異民族流入が続いた時代,魏晋南北朝時代,34.75,113.65
29,224,651,224〜651,古代,MESO,西アジア,ERA,サーサーン朝期,4,イラン系の最後の古代帝国,サーサーン朝,33.10,44.50
30,250,538,250〜538,古代,JPN,日本,ERA,古墳時代,3,巨大古墳とヤマト政権の時代,古墳時代,34.56,135.49
31,320,550,320〜550,古代,IND,インド,ERA,グプタ朝期,4,古典インド文化の黄金期,グプタ朝,25.61,85.14
32,476,1453,476〜1453,中世,EUR_W,西ヨーロッパ,ERA,中世ヨーロッパ,4,封建社会とキリスト教が支配,中世,48.85,2.35
33,550,1431,550〜1431,中世,SEA,東南アジア,ERA,アンコール時代,4,クメール人が寺院都市を造営,アンコール朝,13.41,103.87
34,550,1206,550〜1206,中世,IND,インド,ERA,ラージプート時代,3,諸王朝が分立した中世インド,ラージプート,26.92,75.78
35,589,907,589〜907,中世,CHN,中国,ERA,唐,5,国際色豊かに栄えた王朝,唐,34.27,108.95
36,592,710,592〜710,中世,JPN,日本,ERA,飛鳥時代,3,仏教伝来と律令国家の形成,飛鳥時代,34.47,135.82
37,651,1258,651〜1258,中世,MESO,西アジア,ERA,イスラム帝国期,5,カリフが治めるイスラム世界,イスラム帝国,33.34,44.40
38,668,918,668〜918,中世,KOR,朝鮮,ERA,南北国時代,3,統一新羅と渤海が並立,南北国時代,35.83,129.21
39,710,794,710〜794,中世,JPN,日本,ERA,奈良時代,3,平城京を都とした律令国家の時代,奈良時代,34.69,135.81
40,794,1185,794〜1185,中世,JPN,日本,ERA,平安時代,4,貴族文化と国風文化が栄えた時代,平安時代,35.01,135.77
41,882,1240,882〜1240,中世,EUR_E,ロシア,ERA,キエフ大公国,4,東スラブ最初の国家・ルーシの起源,キエフ大公国,50.45,30.52
42,907,1279,907〜1279,中世,CHN,中国,ERA,宋,4,文治主義と経済文化が発展,宋 (王朝),34.80,114.30
43,918,1392,918〜1392,中世,KOR,朝鮮,ERA,高麗,4,仏教文化が栄えた統一王朝,高麗,37.97,126.55
44,1185,1333,1185〜1333,中世,JPN,日本,ERA,鎌倉時代,4,最初の武家政権の時代,鎌倉時代,35.32,139.55
45,1206,1526,1206〜1526,中世,IND,インド,ERA,デリー・スルターン朝期,4,イスラム諸王朝が北インドを支配,デリー・スルターン朝,28.61,77.21
46,1240,1480,1240〜1480,中世,EUR_E,ロシア,ERA,タタールのくびき,4,モンゴルに従属した時代,タタールのくびき,55.75,37.62
47,1258,1923,1258〜1923,中世,MESO,西アジア,ERA,オスマン帝国期,5,西アジアを長く支配した大帝国,オスマン帝国,41.01,28.98
48,1279,1368,1279〜1368,中世,CHN,中国,ERA,元,3,モンゴルが中国全土を支配,元 (王朝),39.90,116.40
49,1336,1573,1336〜1573,中世,JPN,日本,ERA,室町時代,4,室町幕府と戦国の時代,室町時代,35.01,135.76
50,1368,1644,1368〜1644,中世,CHN,中国,ERA,明,4,漢民族が再興した統一王朝,明,39.90,116.40
51,1392,1897,1392〜1897,中世,KOR,朝鮮,ERA,李氏朝鮮,4,儒教を国是とした最後の王朝,李氏朝鮮,37.57,126.98
52,1431,1600,1431〜1600,中世,SEA,東南アジア,ERA,交易王国の時代,4,アユタヤやマラッカが交易で繁栄,アユタヤ王朝,14.35,100.57
53,1453,1600,1453〜1600,中世,EUR_W,西ヨーロッパ,ERA,ルネサンス,4,古典復興と人文主義が広がる,ルネサンス,43.77,11.26
54,1480,1721,1480〜1721,中世,EUR_E,ロシア,ERA,モスクワ大公国,4,ロシア統一の核となった国家,モスクワ大公国,55.75,37.62
55,1500,1776,1500〜1776,近世,AMER_C,アメリカ大陸,ERA,植民地時代(米州),4,欧州諸国が分割支配した時代,ラテンアメリカ,19.43,-99.13
56,1526,1858,1526〜1858,近世,IND,インド,ERA,ムガル帝国期,5,インドを統一したイスラム帝国,ムガル帝国,27.18,78.02
57,1573,1603,1573〜1603,近世,JPN,日本,ERA,安土桃山時代,3,織豊政権による統一の時代,安土桃山時代,35.15,136.14
58,1600,1945,1600〜1945,近世,SEA,東南アジア,ERA,植民地時代,4,欧米列強が分割支配した時代,東南アジア,10.00,106.00
59,1600,1789,1600〜1789,近世,EUR_W,西ヨーロッパ,ERA,近世ヨーロッパ,3,主権国家と絶対王政の時代,近世,48.85,2.35
