id,year_start,year_end,year_label,era,area_code,region,category,title,importance,summary,wiki,lat,lon
1,-1810,-1750,BC1810〜BC1750,先史,MESO,バビロニア,POL,ハンムラビ,4,ハンムラビ法典を整備した古バビロニアの王,ハンムラビ,32.54,44.42
2,-1303,-1213,BC1303〜BC1213,先史,EGY,エジプト,POL,ラメセス2世,4,新王国の最盛期を築いた偉大なファラオ,ラムセス2世,25.72,32.61
3,-1300,-1201,BC1300〜BC1201,先史,LEV,イスラエル,REL,モーセ,5,ユダヤ教の指導者で出エジプトを導いた預言者,モーセ,30.00,31.50
4,-800,-700,BC800〜BC700,古代,ANAT,アナトリア,CUL,ホメロス,4,叙事詩を残した詩人,ホメロス,38.42,27.14
5,-628,-551,BC628〜BC551,古代,PER,ペルシア,REL,ゾロアスター,4,ゾロアスター教を開いた古代の預言者,ザラスシュトラ,36.30,59.60
6,-582,-496,BC582〜BC496,古代,GRC,ギリシア,THT,ピタゴラス,4,数学と哲学の祖,ピタゴラス,37.75,26.97
7,-571,-471,BC571〜BC471,古代,CHN,中国,THT,老子,4,道家の祖とされる思想家,老子,33.73,114.06
8,-563,-483,BC563〜BC483,古代,IND,北インド,REL,釈迦,5,仏教の開祖,釈迦,27.47,83.28
9,-551,-479,BC551〜BC479,古代,CHN,魯(中国),THT,孔子,5,儒教の祖,孔子,35.60,116.99
10,-550,-486,BC550〜BC486,古代,PER,ペルシア,POL,ダレイオス1世,4,アケメネス朝の最盛期を築いた大王,ダレイオス1世,29.93,52.89
11,-495,-429,BC495〜BC429,古代,GRC,ギリシア,POL,ペリクレス,5,アテネ民主政を全盛に導いた政治家,ペリクレス,37.98,23.73
12,-484,-425,BC484〜BC425,古代,ANAT,アナトリア,THT,ヘロドトス,4,歴史の父と呼ばれる歴史家,ヘロドトス,37.04,27.34
13,-470,-399,BC470〜BC399,古代,GRC,ギリシア,THT,ソクラテス,5,問答法を説いた西洋哲学の祖,ソクラテス,37.98,23.73
14,-460,-400,BC460〜BC400,古代,GRC,ギリシア,THT,トゥキディデス,4,ペロポネソス戦争史を著す,トゥキディデス,37.98,23.73
15,-460,-370,BC460〜BC370,古代,GRC,ギリシア,THT,ヒポクラテス,4,西洋医学の祖とされる医師,ヒポクラテス,36.85,27.29
16,-427,-347,BC427〜BC347,古代,GRC,ギリシア,THT,プラトン,5,イデア論を説いた古代ギリシアの哲学者,プラトン,37.98,23.73
