area_code,name_ja,lat,lon,note
MESO,メソポタミア,33.3,44.4,現イラク・ティグリス〜ユーフラテス
EGY,エジプト,26.8,30.8,ナイル川流域
LEV,レヴァント,32.0,35.0,シリア・パレスチナ・アラビア西岸
ANAT,アナトリア,39.0,35.0,現トルコ・ビザンツ/オスマンの中心
GRC,ギリシア・エーゲ海,39.0,22.0,
ITA,イタリア(ローマ),41.9,12.5,
IBE,イベリア半島,40.0,-3.7,スペイン・ポルトガル
EUR_W,西欧,48.0,2.3,フランス中心
EUR_C,中欧,50.5,10.0,ドイツ・神聖ローマ圏
EUR_BR,ブリテン諸島,52.5,-1.5,イギリス
EUR_E,東欧・ロシア,55.7,37.6,モスクワ
PER,ペルシア,32.0,53.0,現イラン・中央アジア西部
IND,インド・南アジア,22.0,79.0,
CHN,中国,35.0,105.0,
JPN,日本,36.0,138.0,
KOR,朝鮮半島,37.5,127.5,
SEA,東南アジア,14.0,105.0,インドシナ・ベトナム圏
AFR_W,西アフリカ,12.0,-2.0,サヘル・ニジェール川流域
AFR_E,東アフリカ,9.0,39.0,エチオピア・ナイル上流
AMER_N,北米,39.0,-98.0,
AMER_C,中南米,19.0,-99.0,メキシコ・アンデス含む
WORLD,グローバル/複数地域,,,特定地域に紐付かない世界規模の事象
