id,year_start,year_end,year_label,era,area_code,region,category,title,importance,summary,wiki,lat,lon
1,-1300,-1300,BC1300,先史,LEV,パレスチナ,REL,ユダヤ教,5,唯一神ヤハウェの一神教・一神教の源流,ユダヤ教,31.78,35.22
2,-1000,-1000,BC1000,古代,IND,北インド,REL,バラモン教,4,ヴェーダに基づく祭式宗教,バラモン教,29.95,77.55
3,-600,-600,BC600,古代,PER,イラン,REL,ゾロアスター教,4,善悪二元論・光と闇の対立,ゾロアスター教,36.30,59.60
4,-500,-500,BC500,古代,IND,ブッダガヤ,REL,仏教,5,釈迦の悟り・苦からの解脱,仏教,24.70,84.99
5,-500,-500,BC500,古代,CHN,魯,REL,儒教,5,孔子の徳治と礼の教え,儒教,35.60,116.99
6,-500,-500,BC500,古代,IND,ビハール,REL,ジャイナ教,3,徹底した不殺生を説く,ジャイナ教,25.00,85.30
7,-400,-400,BC400,古代,IND,ヴァラナシ,REL,ヒンドゥー教,5,バラモン教から発展した多神教,ヒンドゥー教,25.32,83.01
8,-250,-250,BC250,古代,SEA,スリランカ,REL,上座部仏教,4,戒律を重んじる南伝仏教の主流,上座部仏教,7.87,80.77
9,-100,-100,BC100,古代,JPN,日本,REL,神道,3,日本古来の自然崇拝と祖霊信仰,神道,34.46,136.72
10,-100,-100,BC100,古代,ITA,ローマ,REL,ミトラ教,3,ローマ軍人に広まった密儀宗教,ミトラ教,41.90,12.50
11,30,30,30,古代,LEV,エルサレム,REL,キリスト教,5,イエスの教え・救済の宗教,キリスト教,31.78,35.22
12,100,100,100,古代,IND,インド,REL,大乗仏教,4,衆生救済を説く北伝仏教の主流,大乗仏教,25.00,82.00
13,142,142,142,古代,CHN,四川,REL,道教,4,老荘思想と民間信仰の融合,道教,30.90,103.50
14,240,240,240,古代,PER,メソポタミア,REL,マニ教,3,二元論を体系化した世界宗教,マニ教,33.00,44.50
15,610,610,610,中世,LEV,メッカ,REL,イスラム教,5,ムハンマドへの啓示・唯一神アッラー,イスラム教,21.42,39.83
16,660,660,660,中世,LEV,西アジア,REL,スンナ派,5,イスラム最大多数派,スンナ派,24.47,39.61
17,660,660,660,中世,PER,イラン,REL,シーア派,4,アリーの血統を正統とする一派,シーア派,32.00,44.34
18,700,700,700,中世,CHN,チベット,REL,チベット仏教,4,密教を中心に発展した仏教,チベット仏教,29.65,91.13
19,800,800,800,中世,LEV,西アジア,REL,スーフィズム,3,イスラム神秘主義,スーフィズム,33.34,44.40
20,1054,1054,1054,中世,ANAT,ビザンツ,REL,正教会,4,東西教会分裂で成立した東方教会,正教会,41.01,28.98
21,1500,1500,1500,近世,IND,パンジャブ,REL,シク教,3,ナーナクが創始・一神教,シク教,31.63,74.87
22,1517,1517,1517,近世,EUR_C,ドイツ,REL,プロテスタント,5,宗教改革でカトリックから分離,プロテスタント,51.87,12.65
23,1863,1863,1863,近代,PER,イラン,REL,バハーイー教,3,万人の一致を説く近代の新宗教,バハーイー教,35.69,51.39
