id,year_start,year_end,year_label,era,area_code,region,category,title,importance,summary,wiki,lat,lon
1,-9000,-3000,BC9000〜BC3000,先史,MESO,肥沃な三日月地帯,TEC,農耕の開始,5,新石器革命・定住と文明の基盤,農業,33.5,40.0
2,-6000,-6000,BC6000,先史,MESO,メソポタミア,TEC,灌漑,4,乾燥地で定住農耕と都市文明を可能にした,灌漑,33.10,44.20
3,-3500,-3500,BC3500,先史,MESO,シュメール,TEC,車輪,4,運搬と戦車を生んだ回転技術,車輪,31.0,46.1
4,-3300,-1200,BC3300〜BC1200,先史,MESO,オリエント,TEC,青銅器,4,銅錫合金の道具と武器,青銅器,33.0,44.0
5,-3200,-3200,BC3200,先史,MESO,シュメール,TEC,楔形文字,5,世界最古級の文字体系,楔形文字,31.0,46.1
6,-3200,-3200,BC3200,先史,EGY,エジプト,TEC,ヒエログリフ（象形文字）,5,エジプトの神聖文字,ヒエログリフ,29.85,31.25
7,-3000,-3000,BC3000,先史,MESO,メソポタミア,TEC,太陰太陽暦,3,月と太陽年に基づく暦・農業と祭祀の基盤,太陰太陽暦,33.10,44.20
8,-2500,-2500,BC2500,先史,MESO,メソポタミア,TEC,ガラス,3,装飾品から容器など実用品へ展開,ガラス,33.10,44.20
9,-1500,-500,BC1500〜BC500,先史,ANAT,アナトリア,TEC,製鉄（鉄器）,5,鉄の精錬が農具と武器を変えた,製鉄,40.0,35.0
10,-1300,-1300,BC1300,先史,CHN,殷,TEC,甲骨文字,4,漢字の起源,甲骨文字,36.12,114.35
11,-1050,-1050,BC1050,先史,LEV,フェニキア,TEC,アルファベット,5,表音文字の祖,アルファベット,34.27,35.20
12,-600,-600,BC600,古代,ANAT,リディア,TEC,鋳造貨幣,4,世界最古の金属貨幣,硬貨,38.49,28.04
13,105,105,105,古代,CHN,後漢,TEC,製紙法,5,蔡倫の改良で紙が普及,紙,34.62,112.45
14,300,300,300,古代,CHN,中国,TEC,鐙,3,安定した騎馬戦術を確立した馬具,鐙,34.27,108.95
15,700,700,700,中世,CHN,唐,TEC,木版印刷,3,大量複製の始まり,木版印刷,34.27,108.95
16,1000,1000,1000,中世,CHN,宋,TEC,火薬,5,兵器に応用され戦争を変えた,火薬,34.80,114.31
17,1000,1000,1000,中世,CHN,中国,TEC,交子,4,北宋四川の世界初の紙幣,交子,34.80,114.30
18,1100,1100,1100,中世,CHN,宋,TEC,羅針盤,5,遠洋航海を可能にした,羅針盤,30.25,120.17
19,1300,1300,1300,中世,EUR_W,ヨーロッパ,TEC,大砲,4,火薬で城郭と戦術を変えた兵器,大砲,50.00,10.00
20,1450,1450,1450,中世,EUR_C,ドイツ,TEC,活版印刷,5,グーテンベルクで知が大衆化,活版印刷,50.0,8.27
21,1590,1590,1590,近世,EUR_W,オランダ,TEC,顕微鏡,4,微生物の発見につながった光学装置,顕微鏡,51.50,3.61
22,1608,1608,1608,近世,EUR_W,オランダ,TEC,望遠鏡,4,天体観測と科学革命,望遠鏡,52.16,4.49
23,1764,1764,1764,近世,EUR_BR,イギリス,TEC,ジェニー紡績機,4,産業革命の中核となった紡績機,ジェニー紡績機,53.50,-2.50
24,1769,1769,1769,近世,EUR_BR,イギリス,TEC,蒸気機関,5,産業革命の動力,蒸気機関,52.48,-1.90
25,1796,1796,1796,近代,EUR_BR,イギリス,TEC,ワクチン,5,ジェンナーの種痘,ワクチン,51.76,-2.16
26,1807,1807,1807,近代,AMER_N,アメリカ,TEC,蒸気船,4,フルトンが商業運航に成功,蒸気船,40.71,-74.01
27,1825,1825,1825,近代,EUR_BR,イギリス,TEC,蒸気機関車,4,鉄道時代の幕開け,蒸気機関車,54.91,-1.59
28,1837,1837,1837,近代,AMER_N,アメリカ,TEC,電信,4,情報伝達の高速化,電信,40.71,-74.01
29,1839,1839,1839,近代,EUR_W,フランス,TEC,写真,4,ダゲールの銀板写真で視覚記録が誕生,ダゲレオタイプ,48.86,2.35
30,1867,1867,1867,近代,EUR_C,スウェーデン,TEC,ダイナマイト,3,ノーベルが発明した安定した爆薬,ダイナマイト,59.33,18.07
31,1870,1870,1870,近代,EUR_W,ヨーロッパ,TEC,発電機,5,第二次産業革命を駆動した電力技術,発電機,50.00,10.00
32,1876,1876,1876,近代,AMER_N,アメリカ,TEC,電話,4,遠隔音声通信,電話,42.36,-71.06
33,1879,1879,1879,近代,AMER_N,アメリカ,TEC,白熱電球,4,電灯の実用化,白熱電球,40.36,-74.30
34,1886,1886,1886,近代,EUR_C,ドイツ,TEC,自動車,5,内燃機関の実用化,自動車,48.78,9.18
35,1895,1895,1895,近代,EUR_W,イタリア,TEC,無線通信,4,マルコーニの無線電信,無線通信,44.49,11.34
36,1903,1903,1903,近代,AMER_N,アメリカ,TEC,航空機,5,ライト兄弟の動力飛行,航空機,36.02,-75.67
37,1925,1925,1925,近代,EUR_BR,イギリス,TEC,テレビ,4,映像放送の時代を開く,テレビ,51.51,-0.13
38,1928,1928,1928,近代,EUR_BR,イギリス,TEC,ペニシリン,5,抗生物質で医療が一変,ペニシリン,51.52,-0.10
39,1942,1942,1942,近代,EUR_C,ドイツ,TEC,ロケット,4,V2で宇宙開発と弾道ミサイルの基礎,V2ロケット,54.14,13.77
40,1945,1945,1945,現代,AMER_N,アメリカ,TEC,核兵器,5,核分裂の軍事利用,核兵器,35.88,-106.30
41,1946,1946,1946,現代,AMER_N,アメリカ,TEC,コンピュータ,5,電子計算機ENIAC,コンピュータ,39.95,-75.19
42,1947,1947,1947,現代,AMER_N,アメリカ,TEC,トランジスタ,5,電子機器の小型化の起点,トランジスタ,40.68,-74.40
43,1954,1954,1954,現代,EUR_E,ソ連,TEC,原子力発電,4,オブニンスクで世界初の実用発電,原子力発電,55.10,36.61
44,1957,1957,1957,現代,EUR_E,ソ連,TEC,人工衛星,5,スプートニク・宇宙時代,人工衛星,45.92,63.34
45,1960,1960,1960,現代,AMER_C,メキシコ,TEC,緑の革命,4,高収量品種で食糧生産が飛躍,緑の革命,19.43,-99.13
46,1969,1969,1969,現代,AMER_N,アメリカ,TEC,インターネット,5,ARPANETから世界網へ,インターネット,34.07,-118.44
47,1973,1973,1973,現代,AMER_N,アメリカ,TEC,遺伝子工学,4,組換えDNAで遺伝子操作の基盤を確立,遺伝子工学,37.43,-122.17
48,2007,2007,2007,現代,AMER_N,アメリカ,TEC,スマートフォン,4,モバイル情報革命,スマートフォン,37.33,-122.03
